,gene_symbol
4067,MTIF2
4068,DNAJC3
4069,IGHJ2
4070,PTPN2
4071,MTPN
4072,DCAF8L1
4073,ROS1
4074,IL17B
4075,C1orf101
4076,VRK1
4077,KRTAP4-6
4078,PIK3C2B
4079,NKIRAS2
4080,EIF2AK2
4081,HMGB3
4082,FAM172A
4083,AC142391.3
4084,DEFB113
4085,SPATA2L
4086,SENP8
4087,NUDT9
4088,GLP2R
4089,ADGRG4
4090,MREG
4091,MICALL1
4092,FAM71A
4093,GOLGA8G
4094,PSMG2
4095,DNAJC13
4096,PSMD9
4097,ANKRD37
4098,ANKRD33B
4099,EPS15
4100,PSMB6
4101,C17orf105
4102,BPTF
4103,COPS7A
4104,CHAT
4105,DRG2
4106,CACNB4
4107,PCLO
4108,C12orf29
4109,IFIT2
4110,NME4
4111,MRPL21
4112,CYP2D6
4113,DNAH3
4114,TMEM106A
4115,RNF166
4116,RNF144A
4117,SLC9C2
4118,GTF3C6
4119,CA3
4120,ERCC1
4121,RP11-849F2.7
4122,DYTN
4123,FAM229A
4124,MT-ND5
4125,FANCF
4126,LL0XNC01-16G2.1
4127,PRSS58
4128,SOX21
4129,SPATA12
4130,AL929561.1
4131,OR9Q1
4132,RPL6
4133,FAM234B
4134,FAM173B
4135,LILRA1
4136,MAP7
4137,WNT4
4138,SNAP29
4139,MRPL49
4140,URAD
4141,IFT88
4142,RGS16
4143,CELSR3
4144,IGHV3-7
4145,OR4F16
4146,NMT1
4147,ISX
4148,RP13-582O9.6
4149,RASAL3
4150,AASDHPPT
4151,CTAGE1
4152,PIPOX
4153,ZNF589
4154,ACOXL
4155,RALBP1
4156,EPHB1
4157,NELFCD
4158,CTD-2192J16.20
4159,KAZN
4160,LHPP
4161,PEX3
4162,CCDC59
4163,PHPT1
4164,PTRH2
4165,ZNF20
4166,GIMAP6
4167,ANO5
4168,LEPROTL1
4169,RAD1
4170,TSPOAP1
4171,BCL2L1
4172,MED4
4173,ARC
4174,PYGO2
4175,RP11-330H6.5
4176,PFKFB3
4177,GRIK2
4178,ABHD14A
4179,GABBR2
4180,B9D1
4181,GPR84
4182,PBDC1
4183,RP11-544M22.13
4184,KLK3
4185,ELOA3
4186,HRH4
4187,IQCF6
4188,EHD4
4189,ZNF219
4190,DACT2
4191,SPTLC1
4192,SESN1
4193,CYP7A1
4194,DDC
4195,GLTP
4196,ZER1
4197,HSPA8
4198,CNN2
4199,WHRN
4200,PCDHGA4
4201,MAP4K4
4202,PDZD3
4203,DOCK10
4204,ZNF563
4205,GPC4
4206,SERPINB13
4207,ALPK1
4208,TNRC6C
4209,DAO
4210,CORO7
4211,GAPVD1
4212,MMP8
4213,SERPINA4
4214,TRAJ49
4215,ATRAID
4216,CDC73
4217,KCNG4
4218,CLN5
4219,CDK19
4220,TJP1
4221,BAHCC1
4222,TSHB
4223,PIGQ
4224,BTBD2
4225,PDGFRL
4226,ASMTL
4227,GJA8
4228,NIN
4229,DCP2
4230,RP4-809F18.1
4231,ETFBKMT
4232,DEFB114
4233,EVI2B
4234,CNOT3
4235,RAB5C
4236,UBR1
4237,PADI4
4238,GALNT16
4239,RP11-215A19.2
4240,SMIM13
4241,USP17L30
4242,RNF39
4243,TEX15
4244,PHYH
4245,PLAG1
4246,RABEP2
4247,ZBTB42
4248,CFP
4249,FAM89B
4250,CD300C
4251,PLOD1
4252,AC011513.3
4253,LCN1
4254,PPP2R2B
4255,FEZ2
4256,TMEM184C
4257,SHROOM2
4258,TPBG
4259,ZMYM1
4260,SFXN4
4261,ZNF136
4262,LRIG2
4263,SLC13A5
4264,RP11-398J13.1
4265,MRO
4266,PDGFRB
4267,KIRREL2
4268,RP5-860F19.8
4269,EPCAM
4270,UGT2B15
4271,SLC35G2
4272,F9
4273,ANKRD49
4274,ARID3C
4275,TUBA3E
4276,BIRC3
4277,MIR6884
4278,RGS22
4279,PRKRIP1
4280,UGT8
4281,TTC36
4282,RBM19
4283,MARCH8
4284,OR10G4
4285,VPS4A
4286,SUPT7L
4287,NANOGNB
4288,CBX4
4289,KLK8
4290,RBM15B
4291,ATP1B4
4292,RTN4R
4293,INCA1
4294,NRG3
4295,CD86
4296,RP11-864I4.1
4297,TPM4
4298,AKNA
4299,ETV2
4300,CD207
4301,TUBAL3
4302,IGLL5
4303,RNPEPL1
4304,COLEC10
4305,RAC3
4306,FTH1
4307,OR2T10
4308,HNF1A
4309,AMN1
4310,USP49
4311,PTPRQ
4312,LRRN2
4313,THOC5
4314,SYT13
4315,BCDIN3D
4316,KRTAP10-9
4317,RPL36AL
4318,USP10
4319,AKR1C2
4320,WNT9B
4321,SQLE
4322,SLC9A3
4323,TRAPPC3L
4324,C1orf234
4325,PRPSAP2
4326,RPL28
4327,PSMA3
4328,ALKAL1
4329,LRRC74B
4330,SLC25A16
4331,TCEAL6
4332,TFB1M
4333,RPE
4334,DDX17
4335,SCRIB
4336,SOS1
4337,SMTNL2
4338,BAG3
4339,TMOD2
4340,PHC3
4341,ZDHHC20
4342,EDA
4343,SNX15
4344,CRYBA2
4345,EPS15L1
4346,DEFB103A
4347,PCID2
4348,MBOAT2
4349,TMEM14C
4350,CGN
4351,FPR1
4352,EIF4B
4353,ZNF300
4354,EIF2A
4355,RAB8A
4356,POLB
4357,FAM149B1
4358,AC136612.1
4359,DGAT2
4360,SAPCD2
4361,LRCH1
4362,FAM91A1
4363,CBLC
4364,ACSM1
4365,HPCAL4
4366,NDUFAF4
4367,KLHL21
4368,ANAPC15
4369,MICAL3
4370,PCDHGB1
4371,FAM26D
4372,DEFB108B
4373,ECEL1
4374,PFN1
4375,NACA
4376,GPR83
4377,PPIL4
4378,RP11-309L24.4
4379,ATF4
4380,CDNF
4381,OR10D3
4382,TMEFF1
4383,HIST2H3PS2
4384,POC5
4385,TUBA8
4386,MMS19
4387,EXOC7
4388,SPATA31D4
4389,EVA1B
4390,C1QB
4391,ANXA9
4392,HMBS
4393,TMCC3
4394,LANCL1
4395,ZSCAN10
4396,C19orf67
4397,KANSL1
4398,BACE1
4399,APOBEC4
4400,ZNF93
4401,SF3B2
4402,CCDC170
4403,DPPA2
4404,C11orf21
4405,BUD13
4406,ADAM32
4407,LRRC75B
4408,RGS19
4409,MAGEC1
4410,TUBB2B
4411,KIF1B
4412,SEC61A2
4413,ADRA2B
4414,OR56B1
4415,ZNF320
4416,DRICH1
4417,ATF5
4418,HOOK2
4419,FAM162A
4420,NF2
4421,C12orf73
4422,RGS3
4423,TYRO3
4424,TMEM100
4425,AURKB
4426,MRPL42
4427,C4orf19
4428,OR6B2
4429,C4BPB
4430,CEP44
4431,HCRTR2
4432,TAS2R13
4433,LCE1E
4434,ABHD1
4435,ZZEF1
4436,SNX24
4437,TRAJ56
4438,GID4
4439,AKAP8
4440,ELOVL1
4441,MIR6721
4442,PUM3
4443,MASP2
4444,SNRPB
4445,GRIK1
4446,RAD21L1
4447,NDUFB4
4448,UBL4B
4449,IFNE
4450,PIH1D1
4451,NDFIP1
4452,HOXB2
4453,RBMXL3
4454,BIVM
4455,LLNLF-187D8.1
4456,LAMB2
4457,GOSR2
4458,RAB18
4459,MEX3A
4460,ALKBH4
4461,WSCD1
4462,CTXN2
4463,ACTN2
4464,LAMP2
4465,RP11-216L13.17
4466,NTRK2
4467,TCF21
4468,NUP98
4469,CDK11A
4470,GAGE12D
4471,PRRT1
4472,CAPN10
4473,RNF220
4474,TRIM39-RPP21
4475,UPF2
4476,CNOT9
4477,ANAPC4
4478,FAM208A
4479,PXYLP1
4480,GIP
4481,TXNDC11
4482,LIG1
4483,FKBP11
4484,SCN1A
4485,GALM
4486,CDH4
4487,ACYP2
4488,RFNG
4489,PCDHGA1
4490,CDKL1
4491,PTPRH
4492,AGXT
4493,WDR81
4494,MYO6
4495,C1orf27
4496,RSPH3
4497,MYBPH
4498,C14orf177
4499,ACAT2
4500,FOLR1
4501,CLEC11A
4502,USP17L15
4503,SLC9A6
4504,ADRA1B
4505,ECE2
4506,ZNF534
4507,NIP7
4508,IFT27
4509,C2CD5
4510,SIN3B
4511,TTC34
4512,RBMXL1
4513,DDX51
4514,EBP
4515,SPATA45
4516,PPP1R1B
4517,IGHV4-61
4518,NLRP4
4519,ZNF281
4520,SPATS1
4521,CDH19
4522,DLK1
4523,BRD8
4524,PTN
4525,MECOM
4526,HYAL3
4527,DHRS11
4528,IRGC
4529,USP53
4530,ZC3H12B
4531,GJB4
4532,MMP1
4533,NSA2
4534,SSR2
4535,LEFTY2
4536,RP11-216L13.16
4537,PRKCI
4538,CDCP1
4539,GTPBP6
4540,ST8SIA6
4541,OR1L3
4542,NHLRC2
4543,PTGES3L-AARSD1
4544,TSPAN6
4545,HERC4
4546,PI4K2A
4547,AHDC1
4548,DDTL
4549,CR2
4550,PLA2G4C
4551,FHL1
4552,C21orf59
4553,SPDL1
4554,GARS
4555,SLC9B1
4556,TIMM23B
4557,OR51D1
4558,LMOD2
4559,TMEM243
4560,ZNF334
4561,THNSL2
4562,LHCGR
4563,LDB2
4564,SERAC1
4565,AMER2
4566,DARS2
4567,NOA1
4568,KRTAP10-10
4569,GRIPAP1
4570,C21orf33
4571,GSDMB
4572,ABHD12B
4573,TBX18
4574,KIAA1217
4575,TSEN54
4576,KDSR
4577,TADA3
4578,ATP13A4
4579,TMEM262
4580,MYL9
4581,CDK3
4582,ATN1
4583,RP1-4G17.5
4584,DSTN
4585,IGBP1
4586,MX2
4587,CACNA2D4
4588,SLC35B3
4589,OR11H6
4590,OR2H2
4591,PLPP1
4592,ID2
4593,C5AR2
4594,HIST2H2BF
4595,CHD7
4596,NALCN
4597,AMMECR1
4598,MAP3K11
4599,ENHO
4600,ACAA2
4601,YY1AP1
4602,LY6G6D
4603,UCP1
4604,GYG2
4605,MEF2D
4606,MAFB
4607,KCNMB3
4608,ZNF449
4609,TRAJ53
4610,TMEM88B
4611,TBL2
4612,TTC8
4613,MIR935
4614,COPE
4615,CHRFAM7A
4616,IGLJ1
4617,UBE2O
4618,KNDC1
4619,HSF2BP
4620,WDR49
4621,CCDC121
4622,ZNF286B
4623,CXXC4
4624,PCDHGA12
4625,EEFSEC
4626,UFL1
4627,MUC20
4628,KDM1A
4629,KARS
4630,MESDC1
4631,CSRNP1
4632,LRAT
4633,CD320
4634,MAZ
4635,LVRN
4636,PABPC3
4637,TOR3A
4638,IGF2BP1
4639,GNS
4640,BEND3
4641,UBQLN3
4642,PAQR7
4643,BTG3
4644,ITGA4
4645,OR1E2
4646,CEACAM19
4647,PHF7
4648,RASA4B
4649,OR8A1
4650,DYRK4
4651,CCDC183
4652,SNX12
4653,ASCL1
4654,INF2
4655,C19orf43
4656,ZMYND15
4657,GBP7
4658,TEX35
4659,AC006994.2
4660,LONP1
4661,OLIG2
4662,OR10AC1
4663,GLMP
4664,MRM1
4665,E2F1
4666,ANKRD20A1
4667,PQBP1
4668,CDH1
4669,PCCA
4670,DHRS4
4671,DTX4
4672,ACBD7
4673,TNFSF14
4674,TAS2R41
4675,SIDT1
4676,BBOX1
4677,STXBP5L
4678,C7orf72
4679,R3HDM4
4680,CLEC2L
4681,CASP5
4682,RP11-831H9.11
4683,PRSS8
4684,DCXR
4685,MVB12B
4686,RPS17
4687,TMEM86A
4688,ADCYAP1
4689,RP11-159D12.5
4690,AEBP2
4691,ZNF829
4692,OR1S1
4693,PRDX3
4694,ADH5
4695,CITED4
4696,GRM8
4697,TAF9
4698,SLC25A29
4699,RP11-812E19.9
4700,EPO
4701,C14orf105
4702,PTP4A1
4703,PSMD8
4704,TLR6
4705,CARD19
4706,LIF
4707,TOLLIP
4708,SPATA33
4709,TGFBR3
4710,CYP19A1
4711,GPR137B
4712,IL1RL2
4713,ILF3
4714,OAZ2
4715,HELB
4716,CCDC191
4717,GOLGA8A
4718,ASB10
4719,HTT
4720,EIF4A1
4721,ABTB1
4722,RPL7A
4723,TRAV25
4724,CTB-54O9.9
4725,GIMAP1
4726,DESI2
4727,BAD
4728,SCGB2B2
4729,SLAIN1
4730,CKAP4
4731,LALBA
4732,LRRN4CL
4733,ZBED9
4734,BMP8B
4735,HTR5A
4736,LEO1
4737,EMILIN1
4738,ACTL9
4739,ZDHHC14
4740,RAVER2
4741,FNIP2
4742,PLPP4
4743,ABCB4
4744,IL12RB1
4745,AZIN2
4746,PTPRA
4747,PCBP2
4748,C9orf129
4749,MCM3
4750,CENPH
4751,CTDSP1
4752,HSPA1B
4753,DPF1
4754,CNIH1
4755,USP2
4756,MORN5
4757,PCP4L1
4758,MIR636
4759,MIR1973
4760,P2RY4
4761,OR2T35
4762,F10
4763,EFNA1
4764,GYPE
4765,FOSL1
4766,RIMS1
4767,RBP1
4768,GALNT18
4769,VPS11
4770,LCE2C
4771,NFIA
4772,MEIOC
4773,TRAV7
4774,LINGO1
4775,LRP3
4776,MGAT1
4777,FBXO10
4778,CTA-150C2.22
4779,GAB1
4780,SPTLC3
4781,LYPLAL1
4782,USP17L11
4783,MRFAP1
4784,CCDC6
4785,ALKBH8
4786,ARHGAP4
4787,PACSIN3
4788,PPP1R3G
4789,PLA2G12B
4790,ZFYVE16
4791,IDI1
4792,RASGEF1C
4793,OR4A16
4794,ZFP36L1
4795,FOXD2
4796,TMPRSS5
4797,GPR160
4798,TULP4
4799,SIRT5
4800,C16orf74
4801,SLC13A1
4802,SEZ6L2
4803,RECK
4804,RPL41
4805,C12orf40
4806,STRA6
4807,PDIA6
4808,SLITRK1
4809,LRRC37A3
4810,WAC
4811,STRAP
4812,PRAMEF8
4813,FHL3
4814,FBXO5
4815,NCAN
4816,FGFR1OP
4817,RPP25L
4818,NUMBL
4819,ZNF226
4820,ELL
4821,IGHV1-69
4822,HCFC1
4823,CXCL10
4824,ACTN3
4825,SUMF1
4826,CD1B
4827,NCBP2
4828,ESPN
4829,MGAT4D
4830,FKBP6
4831,VEGFA
4832,ZNF30
4833,SRP72
4834,DAQB-331I12.15
4835,EPSTI1
4836,CACNA1G
4837,SLC2A2
4838,SKA3
4839,GOLGA2
4840,FAM207A
4841,TNK2
4842,FAM25A
4843,PARD6B
4844,TCAF1
4845,EDF1
4846,OR7D2
4847,HSFX2
4848,SREBF2
4849,GP1BA
4850,CDRT4
4851,ISOC1
4852,TMC5
4853,ADORA2B
4854,IGHV4-28
4855,CARM1
4856,CC2D1B
4857,BCAP29
4858,PYGM
4859,AUH
4860,ANKDD1A
4861,CHST15
4862,GJB6
4863,ZBTB34
4864,SLC25A25
4865,FECH
4866,RPS10
4867,TLE6
4868,FBXL7
4869,KRT32
4870,ANKRD6
4871,MAGEA9B
4872,AP1AR
4873,MIR4709
4874,ELOA2
4875,KLHL5
4876,SLC35F4
4877,IGHD1OR15-1A
4878,TCTN3
4879,DEFB132
4880,HMGXB4
4881,UBE2H
4882,SMLR1
4883,TPSB2
4884,HSD3B2
4885,ZBED5
4886,EIF4ENIF1
4887,PPFIA4
4888,GYS2
4889,MTSS1
4890,KCNK18
4891,IFITM5
4892,PTPMT1
4893,KLF18
4894,GRINA
4895,FOXJ2
4896,LY6K
4897,XCL1
4898,CLIC4
4899,IGHD3-16
4900,CD300LF
4901,KIAA1644
4902,MAPK4
4903,TRAV18
4904,DACH1
4905,RUSC2
4906,POLL
4907,THRA
4908,PRAG1
4909,LRRIQ3
4910,EBPL
4911,TNFAIP8L2
4912,OR2B11
4913,DDR1
4914,PLSCR4
4915,TBC1D8B
4916,FBXL3
4917,FOXI3
4918,AASDH
4919,ATP13A1
4920,ZNF600
4921,AAMP
4922,OR6C75
4923,MIS12
4924,LIPK
4925,METTL25
4926,SLC25A35
4927,CHST9
4928,ADGRL3
4929,LCE2A
4930,PPP4R4
4931,ADAL
4932,TNFSF18
4933,YIF1A
4934,INCENP
4935,AC108938.5
4936,C4orf3
4937,MMAA
4938,HSPH1
4939,MAPKAPK5
4940,KLK7
4941,UBE4A
4942,EIF5
4943,ABHD14A-ACY1
4944,KIZ
4945,OXSM
4946,TRGV4
4947,CHODL
4948,PAPOLB
4949,ZNF587B
4950,SCN10A
4951,MAP1LC3C
4952,ZNF836
4953,AC012314.1
4954,ZNF35
4955,AC003002.4
4956,HBS1L
4957,OR5D13
4958,MIR4315-1
4959,PRMT9
4960,BBS5
4961,OR4K2
4962,PQLC2L
4963,PLPP6
4964,HSD11B2
4965,NODAL
4966,PCDHGA10
4967,FOSB
4968,APOA4
4969,CCDC159
4970,BRD2
4971,C3orf18
4972,RAB19
4973,PPM1H
4974,ARNTL2
4975,OR10X1
4976,ZNF445
4977,MYO15B
4978,C10orf95
4979,SYCP2
4980,GPR89A
4981,DERL2
4982,OR5K3
4983,SMCO3
4984,MEPE
4985,KCNIP4
4986,TRAJ43
4987,MROH7-TTC4
4988,GSTT2B
4989,DENND3
4990,CSNK2A2
4991,ZNF726
4992,OR52B4
4993,CYP11B2
4994,AKAP4
4995,AACS
4996,ATF7IP2
4997,CNOT4
4998,INO80D
4999,SOCS4
5000,TGDS
5001,IGHD1-26
5002,TRBV6-5
5003,FGD6
5004,TTC12
5005,RPS19
5006,SCART1
5007,GDAP2
5008,COLQ
5009,ANKRD33
5010,EP300
5011,RBM7
5012,PCYOX1
5013,TSEN34
5014,MT-ND2
5015,SLITRK3
5016,FLVCR1
5017,BCKDK
5018,SEC22C
5019,CUTC
5020,ITGA11
5021,UNC119B
5022,OR2W1
5023,CNBD2
5024,AQR
5025,CTD-2007N20.1
5026,ZC3H15
5027,KLRK1
5028,OR51J1
5029,KRTCAP3
5030,LIMS3
5031,PI3
5032,LSP1
5033,KLHL24
5034,EHF
5035,RFX3
5036,KRT20
5037,DEFB112
5038,FAM210A
5039,TMEM128
5040,ZFYVE28
5041,MAP3K1
5042,PSKH2
5043,STAU2
5044,LRRIQ1
5045,NOMO2
5046,ANKRD45
5047,FCRL3
5048,CMIP
5049,VIT
5050,N4BP3
5051,SAC3D1
5052,NEK2
5053,TRBV5-5
5054,DGCR6L
5055,GP2
5056,ZNF57
5057,SEC11C
5058,KTI12
5059,ZNF668
5060,NRCAM
5061,ZNF770
5062,SGCD
5063,DRD1
5064,TMEM71
5065,ADRA1D
5066,SRSF9
5067,NDUFA12
5068,MYH10
5069,DSG2
5070,MYOZ2
5071,LRRFIP2
5072,KDM3A
5073,PNPLA1
5074,ERP29
5075,PCDH17
5076,WDR13
5077,BLVRA
5078,SETDB2
5079,PPP1R2P3
5080,PRRG1
5081,RBBP9
5082,CXorf23
5083,ACTL10
5084,DAB1
5085,AP1B1
5086,FBLN7
5087,AMDHD2
5088,CCDC71
5089,PDE8B
5090,CCL3L3
5091,SLC35D3
5092,PIGV
5093,PRKAA2
5094,TNFSF9
5095,PATE3
5096,OVCA2
5097,ADCY6
5098,IFFO2
5099,MIR4758
5100,EPS8L3
5101,KLF14
5102,RDH12
5103,P2RY13
5104,MVB12A
5105,COX4I2
5106,OR9G4
5107,TRAV10
5108,PDLIM1
5109,UQCC2
5110,KMT2C
5111,UBR2
5112,TMBIM6
5113,GUCD1
5114,DUOXA2
5115,PRKCDBP
5116,TMEM206
5117,SHF
5118,NEUROD6
5119,SLC12A3
5120,RHOU
5121,CD3G
5122,CAMTA2
5123,KRTAP4-4
5124,IGLV1-44
5125,SFT2D3
5126,OPN1LW
5127,DUSP10
5128,CHCHD7
5129,C17orf51
5130,VRTN
5131,NOTO
5132,ZFPM2
5133,CARD8
5134,TRGJP1
5135,FAM220A
5136,CEP295NL
5137,CDH13
5138,HDAC4
5139,PLS3
5140,CR753845.1
5141,NAA25
5142,RIPK2
5143,DGCR8
5144,ZNF83
5145,IGHJ6
5146,EIF4E
5147,DNAJC22
5148,CCM2L
5149,AMOTL1
5150,STARD5
5151,SPATA22
5152,C14orf180
5153,BAG4
5154,CHPF
5155,NDUFC2-KCTD14
5156,SIPA1
5157,RASEF
5158,IDH2
5159,NCF1
5160,ASB18
5161,FBXO40
5162,SPATA2
5163,CAMSAP2
5164,GAREM1
5165,SEC11A
5166,PPFIBP1
5167,ABCA9
5168,TSPAN13
5169,HIPK1
5170,TRANK1
5171,KIAA2022
5172,ZNF780A
5173,UBE2J2
5174,VAV1
5175,CALHM2
5176,RPUSD4
5177,DDRGK1
5178,PKHD1
5179,KCNK13
5180,RP11-511P7.6
5181,AC006538.4
5182,SLC36A3
5183,ANKRD50
5184,SCAMP3
5185,TMSB15A
5186,REL
5187,TTLL12
5188,SFN
5189,KRTAP3-3
5190,ME3
5191,CALML6
5192,TRAV8-3
5193,IGHD
5194,ZNF626
5195,DMRT1
5196,SPTBN2
5197,AC037459.4
5198,ARL6IP1
5199,WDHD1
5200,PRR3
5201,FANK1
5202,SYTL2
5203,REEP5
5204,LINC00176
5205,IFIT1B
5206,IGFBP1
5207,PRR26
5208,CXorf49B
5209,ITPK1
5210,MED12L
5211,GALNT8
5212,REC8
5213,ERI1
5214,KLF12
5215,TNKS
5216,ILDR1
5217,INAFM1
5218,ZNF318
5219,ASPHD1
5220,TSPYL1
5221,ERCC4
5222,OR52E8
5223,KCNE3
5224,DEFB105B
5225,SREK1
5226,ADRA2C
5227,USPL1
5228,NMRK2
5229,GPC1
5230,BLOC1S1
5231,C1orf115
5232,KIAA0922
5233,NID1
5234,LINC00694
5235,TFF2
5236,DOCK11
5237,AMH
5238,ANKRD20A2
5239,TBL1Y
5240,ATP5J2
5241,RASL12
5242,ACOT4
5243,MTG2
5244,LHX9
5245,TMEM198
5246,NPHS2
5247,BTG4
5248,MIR4657
5249,FBXO39
5250,DOC2B
5251,XRN1
5252,CD109
5253,OR11G2
5254,DIO2
5255,OR4S1
5256,TMEM173
5257,CLPTM1L
5258,FRYL
5259,CTAGE9
5260,PDE6A
5261,RP11-58C22.1
5262,XXbac-BPG246D15.9
5263,SP8
5264,CT47A1
5265,FHIT
5266,IRAK3
5267,FITM2
5268,C6orf89
5269,POLR2F
5270,ASPHD2
5271,MARK4
5272,F5
5273,ZNF843
5274,KIAA1549
5275,MTO1
5276,FAM110B
5277,TLR7
5278,DLGAP4
5279,RP11-15H20.8
5280,MIR650
5281,RBM22
5282,OR4N4
5283,FGF13
5284,NHSL1
5285,ZIM2
5286,KLRD1
5287,SUN5
5288,OLFML1
5289,SRSF12
5290,ALAS2
5291,VPS26B
5292,IL18RAP
5293,LOR
5294,CLCC1
5295,MAGEB10
5296,BPY2B
5297,BAZ1B
5298,TRIM14
5299,RP11-111H13.1
5300,ZNF781
5301,SBSPON
5302,SDF2
5303,PCSK6
5304,CYBB
5305,YME1L1
5306,WDFY2
5307,NAP1L5
5308,ABCG2
5309,RPL10
5310,C1orf174
5311,KRTAP9-1
5312,RAB11FIP3
5313,AQP12A
5314,FAM35A
5315,SSTR5
5316,TRERF1
5317,TRH
5318,MTHFD1
5319,LDB1
5320,LYRM9
5321,SERPINA2
5322,BARX2
5323,TEX38
5324,RP11-371E8.4
5325,FUT1
5326,STON2
5327,PNO1
5328,MSMO1
5329,COX19
5330,ERG
5331,C22orf42
5332,ARHGAP17
5333,BPIFB6
5334,SLC22A16
5335,SYNE1
5336,CD58
5337,RAB44
5338,PCYT1B
5339,MROH2A
5340,TTI1
5341,NPVF
5342,CTC-429P9.4
5343,PDXP
5344,ASNA1
5345,GPATCH2L
5346,FAM217B
5347,RMDN3
5348,TGFB3
5349,MMEL1
5350,TCHH
5351,OPN1MW
5352,KRTAP21-2
5353,CLEC6A
5354,NARFL
5355,NAT10
5356,IZUMO3
5357,RP11-727F15.14
5358,ZBTB45
5359,DSG3
5360,LCN9
5361,PARP12
5362,RSAD2
5363,FBXL4
5364,ZNF107
5365,HSD17B8
5366,BCAS4
5367,STPG1
5368,HSBP1
5369,FOXR2
5370,ID4
5371,GALNT1
5372,TRIM39
5373,MOS
5374,OTOS
5375,TRGV9
5376,RIMBP3
5377,LILRA2
5378,POM121L12
5379,PCDHA5
5380,RAB5B
5381,DNAH10OS
5382,CNTD1
5383,CTC-479C5.12
5384,BCL2L2-PABPN1
5385,PMF1
5386,AKR1E2
5387,LPAR6
5388,SMIM17
5389,IFNA5
5390,CA4
5391,MEFV
5392,MARCH5
5393,MCM4
5394,KXD1
5395,SLC35F5
5396,CFAP52
5397,ZNF527
5398,MT2A
5399,GFAP
5400,RP11-244E17.1
5401,SYNGR3
5402,HIPK3
5403,NARS2
5404,CFAP65
5405,OR8J1
5406,RBAK-RBAKDN
5407,C11orf95
5408,PDE11A
5409,UBE2N
5410,CLP1
5411,KIF26B
5412,PCBP3
5413,THBD
5414,MKRN1
5415,NFKBIB
5416,CD19
5417,MAL
5418,RAD9A
5419,AC145212.2
5420,MPRIP
5421,SLC12A6
5422,EPHX2
5423,WDR60
5424,ARCN1
5425,ENKD1
5426,UBL4A
5427,C1QTNF3-AMACR
5428,NME5
5429,COPS6
5430,TCTE1
5431,SPATA46
5432,TRAJ45
5433,ATP10B
5434,RBM41
5435,ABHD17A
5436,ATRIP
5437,MFAP3
5438,TOB1
5439,SLC7A10
5440,DNER
5441,RAB1A
5442,MID1
5443,LINC00493
5444,ZNF121
5445,KCNK10
5446,NR2C1
5447,SNAP25
5448,NUP210L
5449,RAB21
5450,TP53BP1
5451,SCUBE3
5452,CENPB
5453,MMRN2
5454,MAEL
5455,IGDCC3
5456,C1orf210
5457,ATP5D
5458,KRT8
5459,NHS
5460,POMC
5461,MUSTN1
5462,NME7
5463,ZNF335
5464,PEMT
5465,MFSD14B
5466,AFM
5467,NT5C1B-RDH14
5468,PGK2
5469,NPIPA7
5470,FAAP100
5471,SCUBE1
5472,RBL1
5473,AP003419.11
5474,ABO
5475,ABCA12
5476,CYP27B1
5477,COL12A1
5478,MUC3A
5479,MRPL53
5480,DDAH2
5481,MEF2C
5482,DRAM2
5483,FAM209A
5484,ATR
5485,ELAVL2
5486,GMPPB
5487,HELZ2
5488,DISC1
5489,C1orf122
5490,C9orf57
5491,CCNA2
5492,FBXO18
5493,OR4D9
5494,USF3
5495,SSX3
5496,TMEM200C
5497,RPP14
5498,DCUN1D4
5499,TAS2R10
5500,SIAE
5501,MIER3
5502,DPPA5
5503,CPSF4L
5504,TLDC1
5505,CCL7
5506,NRDE2
5507,LHFPL3
5508,WASHC2C
5509,IGHD4OR15-4B
5510,COL4A3BP
5511,ZNF114
5512,GUCA2B
5513,RPAP1
5514,TRIM49B
5515,RAB1B
5516,MPC2
5517,PPP3CB
5518,DERL3
5519,CDH6
5520,FNDC7
5521,SEMA4F
5522,LEP
5523,RP11-691N7.6
5524,DDHD2
5525,CCDC179
5526,HOXB9
5527,SI
5528,NAV3
5529,AMY2B
5530,C8orf88
5531,COLEC12
5532,CTC-534A2.2
5533,CD180
5534,TRMT61A
5535,SLC23A3
5536,CHD3
5537,NADK
5538,ANK3
5539,VPS54
5540,FAM84A
5541,KLF3
5542,ZNF581
5543,CYHR1
5544,AP000275.65
5545,BECN2
5546,AJAP1
5547,GOLM1
5548,SPTLC2
5549,LIMS2
5550,FLNB
5551,CATSPER4
5552,MIR611
5553,RP4-608O15.3
5554,CRYBB3
5555,PRMT5
5556,SLC5A5
5557,TBX20
5558,TWIST1
5559,IGHM
5560,GPX5
5561,RPS6KB1
5562,KRTAP20-4
5563,FAM133A
5564,LGSN
5565,THUMPD1
5566,MRPL2
5567,EPB41L1
5568,NEBL
5569,ZNF235
5570,NOC3L
5571,CD300LD
5572,DAD1
5573,COMMD5
5574,SLC26A9
5575,SNRK
5576,OR2W3
5577,C1D
5578,SLC25A47
5579,XAB2
5580,CHRD
5581,OPA1
5582,DENND5B
5583,RPF2
5584,MRGPRE
5585,ODF2
5586,CCT6B
5587,NGLY1
5588,C20orf141
5589,TREH
5590,AMIGO2
5591,DMBT1
5592,KRT36
5593,PRSS23
5594,MOCS2
5595,MYH11
5596,SLCO6A1
5597,TRMT6
5598,GSTZ1
5599,OR8H3
5600,MRPL22
5601,SH2D1B
5602,DEFB106A
