,gene_symbol
390,PPP1R14C
391,SAP25
392,PARP2
393,NOL3
394,ADAD2
395,TFAP2B
396,DTL
397,PTGES3L
398,ACTR1A
399,HBM
400,MUC7
401,RNF20
402,ZNF66
403,TMEM63A
404,PCDHA6
405,TRAF3IP2
406,RANBP10
407,SMC4
408,DYRK2
409,CEP57
410,AP2S1
411,THAP9
412,XXcos-LUCA11.5
413,CTB-50L17.14
414,DLX1
415,CLCN2
416,ZNF761
417,IL3RA
418,TRIM75P
419,FADS2
420,MIR4761
421,DHCR24
422,PCSK2
423,EIF4EBP3
424,AP5B1
425,RHBDL3
426,AVPR1B
427,RND2
428,GAGE13
429,CCDC142
430,SOSTDC1
431,OR2T34
432,DNAH10
433,SERINC4
434,EMC1
435,PRSS1
436,CNTF
437,EGR3
438,CASP8AP2
439,ALMS1
440,GNG13
441,APOA5
442,MAP3K14
443,FAM110D
444,MYT1L
445,PPOX
446,SH3GLB1
447,MMP15
448,ELMOD2
449,RP11-206C20.1
450,EIF4E3
451,OR3A1
452,CACNG7
453,CGGBP1
454,TSGA13
455,KLHDC9
456,MTF1
457,ATP5A1
458,ZNF549
459,ACTR3B
460,BOLA2B
461,SH3RF1
462,OSGIN2
463,F11R
464,MELTF
465,USF2
466,USP20
467,TULP1
468,MDM4
469,ING2
470,NMBR
471,LRRC3
472,UTP14A
473,DCUN1D5
474,IMPACT
475,RP11-20I23.1
476,CDH7
477,HIST1H2BN
478,ENPP4
479,DNPEP
480,PTPN18
481,HYAL1
482,ZC3H7A
483,CT45A10
484,TLK1
485,AKAP3
486,SETDB1
487,C1QTNF5
488,PLG
489,TRIM40
490,MKL1
491,TMEM189
492,NACAD
493,OR56A1
494,RIIAD1
495,LUZP2
496,LTB4R2
497,ABHD8
498,CNN3
499,SETD3
500,SH3BP1
501,PHF13
502,GLYR1
503,CFAP44
504,METTL5
505,DENND2C
506,NEK4
507,OTUD1
508,CREBL2
509,UBE2Z
510,TMEM185B
511,EDC3
512,CTD-2132N18.3
513,PHACTR3
514,OCM2
515,COL22A1
516,LCN2
517,TOMM20L
518,NUDT8
519,KCTD2
520,RAB39A
521,CASS4
522,AC009477.8
523,RAB5A
524,CCT8L2
525,C9orf40
526,ACAP2
527,OR10H3
528,CHIC2
529,STEAP4
530,CSN2
531,THAP5
532,NKX2-4
533,SULT1A2
534,DGKZ
535,MMP19
536,KRTAP21-1
537,SERPINA10
538,PSG8
539,SH2D2A
540,CTNNAL1
541,C17orf74
542,CEP55
543,PCDHA10
544,C9orf47
545,OR51I1
546,ZNF837
547,ATP2B2
548,MXI1
549,KIF26A
550,NNAT
551,GTF2H4
552,GMNC
553,ST6GAL1
554,EDN2
555,MTMR8
556,HLA-DMA
557,CCDC78
558,TRIM29
559,PRR34
560,ZNF550
561,FAM236B
562,TBXAS1
563,BTK
564,PAFAH2
565,SPTSSB
566,GGT7
567,NDP
568,CSN3
569,SLC39A8
570,PPP1R3C
571,NRSN1
572,MVK
573,LYPD4
574,RASSF5
575,AK2
576,NCS1
577,CEP19
578,KLF4
579,PROM1
580,GATSL2
581,ZNF514
582,SEMA3E
583,RAD51
584,BCL2
585,SLC25A38
586,KCNJ2
587,KRI1
588,EBF2
589,ZMPSTE24
590,GDF11
591,AP1S2
592,PKIG
593,C1orf158
594,ARPC4
595,DGCR14
596,NDUFS6
597,FUT5
598,TOP3B
599,LAMA2
600,FMO3
601,ZNF276
602,MS4A10
603,NUPL2
604,MRFAP1L1
605,PCGF3
606,ALKBH3
607,ANXA11
608,RPEL1
609,LRMP
610,PAGR1
611,RBPJ
612,OR8B8
613,AMY1B
614,TET1
615,CDAN1
616,KCNH7
617,CCM2
618,FNBP4
619,ATF1
620,HEATR4
621,KLHDC7A
622,RSRP1
623,ADCK2
624,UPP2
625,FBN2
626,CELA2A
627,SCARF2
628,NUDT5
629,CCKBR
630,OPN1SW
631,DHH
632,PIWIL2
633,DUSP16
634,SIRPA
635,CCDC65
636,TCP11
637,MRPL36
638,ARMC10
639,MYH14
640,DCC
641,WDR54
642,ZNF446
643,TNFSF12-TNFSF13
644,LMBRD1
645,FUT10
646,GADL1
647,MAP2K4
648,METRNL
649,TEKT3
650,SOBP
651,C18orf63
652,FGF20
653,PLEKHM3
654,ISLR
655,AP000351.1
656,TNFRSF13B
657,GATA4
658,GPR153
659,RASSF4
660,SPINK9
661,MAPRE2
662,DYRK1A
663,NRAS
664,RPS4Y2
665,ACSM5
666,AZIN1
667,BTF3
668,SLC4A1
669,XKR4
670,DENND1B
671,ADGRE3
672,ACSM6
673,KLHDC10
674,KCTD14
675,EPM2A
676,USP14
677,CYP2C9
678,ACY1
679,ADORA1
680,SPNS2
681,LRIG1
682,WRAP73
683,HDAC7
684,ZDHHC13
685,SLC25A31
686,LGALS13
687,OGDH
688,C7orf77
689,DNTTIP2
690,PSORS1C2
691,SIGIRR
692,C16orf92
693,TRIM69
694,RP11-638I8.1
695,SUCLG2
696,SLC14A1
697,TIMM17B
698,ZNF766
699,DNAJA4
700,SPIB
701,CTD-2192J16.17
702,GS1-393G12.13
703,ZNF160
704,ATG10
705,SPTY2D1-AS1
706,RPS19BP1
707,PMP2
708,GUCY1B3
709,PLA2G6
710,HS6ST2
711,FAM81A
712,NEDD1
713,ABCD4
714,STARD4
715,ELMSAN1
716,ZNF683
717,FAM171A2
718,ENTPD3
719,OR2T27
720,H1FOO
721,BTNL3
722,NBDY
723,POLR2E
724,PRDM14
725,LRRC7
726,SOX30
727,PHLDA1
728,RP11-195F19.29
729,PILRA
730,LRIT3
731,HSD17B7
732,FMOD
733,TK1
734,GNA15
735,CCL28
736,VMAC
737,ARF1
738,TCP10
739,PSME1
740,USP15
741,PADI3
742,ZSCAN16
743,C1QL4
744,KIAA1551
745,ZNF878
746,TTC37
747,SNX19
748,LPCAT3
749,JARID2
750,DAZAP1
751,OR4A5
752,ETNK2
753,LDOC1L
754,OR4F5
755,OTOA
756,RP11-726G1.1
757,HRG
758,C7orf25
759,SHOX2
760,ADA
761,KLC4
762,OR9Q2
763,WDR55
764,RNF139
765,CSNK2A3
766,SDHAF1
767,KIAA0753
768,TNFRSF1A
769,BLZF1
770,RASSF7
771,BAAT
772,CDK2
773,AC243790.1
774,PPM1J
775,RSPRY1
776,TRAV21
777,RERGL
778,SVOP
779,FAM13A
780,NUPR2
781,S100PBP
782,ZNF736
783,PGBD2
784,TOR2A
785,THSD1
786,CXorf67
787,PEX13
788,TMEM106B
789,USP17L2
790,OR2J2
791,GPR17
792,SAFB
793,DUSP2
794,CRYAA
795,TEF
796,ATG2A
797,ASZ1
798,PLEKHG2
799,PHF6
800,SLC24A3
801,DPP8
802,PRKACA
803,ADIG
804,RAB14
805,IGKV1-37
806,ZNF311
807,TOM1
808,SLC17A5
809,SDPR
810,NPY
811,RAB15
812,RUBCNL
813,CHRNA7
814,HOXA10-HOXA9
815,SNX3
816,MEGF6
817,SERPINI2
818,HMGN1
819,SLC46A2
820,NKX2-1
821,BRI3BP
822,COL3A1
823,ZNF592
824,MORF4L2
825,CPA2
826,RIMBP3C
827,S100B
828,CFAP77
829,THNSL1
830,CWC27
831,ANGPTL5
832,IQSEC1
833,SRGAP1
834,GSTM1
835,GPAA1
836,OCSTAMP
837,DEPDC7
838,GTF3C2
839,ZFYVE19
840,CCDC24
841,PTPRJ
842,RHBDD2
843,SAMD11
844,CSF3
845,ARHGAP45
846,KCNT2
847,TRDJ1
848,PRICKLE4
849,CNTROB
850,ZFAND2B
851,ELOVL3
852,RAB3GAP1
853,HOXD13
854,GOLGA8S
855,ARID1B
856,OTUD7A
857,TMCC2
858,SPATA31A1
859,LCA5L
860,AP4E1
861,PLAC1
862,CRTAP
863,ZFPM1
864,ZNF593
865,CTB-127M13.1
866,THAP7
867,OR4K13
868,ADO
869,LDAH
870,C1orf87
871,OLFM2
872,KMT5C
873,FRZB
874,IFT122
875,LIPI
876,ZGLP1
877,CDKN2B
878,AC012314.5
879,CHEK2
880,VPS36
881,TBC1D12
882,TAPBPL
883,CHKA
884,RAG2
885,AIPL1
886,GCLM
887,EDA2R
888,GPN2
889,AHCY
890,DLG3
891,ZNF569
892,BDP1
893,QDPR
894,CD300E
895,SSTR1
896,TGM6
897,MAP3K6
898,C3orf30
899,SLC22A1
900,MIR197
901,CEACAM21
902,ALG10
903,DIDO1
904,ZFAND6
905,ADCY4
906,FKBP7
907,TMEM253
908,OR10R2
909,HLF
910,HK2
911,ANO7
912,CDH10
913,BTBD8
914,RHCG
915,GLRX5
916,ZNF677
917,OPALIN
918,MZT2A
919,RP11-458D21.5
920,UQCRQ
921,CRYGS
922,KCNH2
923,ACAA1
924,TSPAN12
925,CH17-224D4.2
926,STBD1
927,PLEKHM1
928,OR2B6
929,CTB-102L5.4
930,IPO5
931,TMEM175
932,IDH3G
933,ARHGDIG
934,C8orf58
935,CTD-2021K4.1
936,RP11-934B9.3
937,IL13RA2
938,PRAMEF11
939,BEST2
940,hsa-mir-3607
941,RP5-1021I20.4
942,FLYWCH1
943,DSC3
944,PATJ
945,TMEM241
946,MAPK15
947,MRC2
948,NDUFAF5
949,PHOX2B
950,NKX2-3
951,STMN1
952,IGHD2-21
