,ENST00000477988.1,ENST00000561385.5,ENST00000284509.10,ENST00000262262.4,ENST00000598473.1,ENST00000378962.3,ENST00000515859.5,ENST00000507316.1,ENST00000537784.5,ENST00000611771.1,ENST00000592205.5,ENST00000233997.3,ENST00000367279.8,ENST00000309017.7,ENST00000468385.1,ENST00000304639.3,ENST00000381501.7,ENST00000376581.9,ENST00000373304.3,ENST00000393118.6,ENST00000531348.5,ENST00000216336.2,ENST00000257818.2,ENST00000215855.6,ENST00000281938.6,ENST00000304625.2,ENST00000282026.1,ENST00000261233.8,ENST00000448387.6,ENST00000359135.7,ENST00000381297.9,ENST00000427103.5,ENST00000367814.8,ENST00000527615.5,ENST00000430686.2,ENST00000264824.4,ENST00000241453.11,ENST00000380987.2,ENST00000346128.10,ENST00000400007.8,ENST00000245479.2,ENST00000355530.6,ENST00000633060.1,ENST00000620695.2,ENST00000612677.4,ENST00000554578.5,ENST00000293373.10,ENST00000563039.2,ENST00000360121.4
AML11,0.0,0.009130962073194809,0.0674470054296054,0.08494796915992117,0.0163209269920191,0.01888024406025605,0.0,0.0,0.00022479069494063883,0.014163198483337967,0.0013160856385753246,0.004313276711650961,0.011839898112303095,0.004477736951723465,0.008686843797312601,0.003660726073548258,0.021503296602059248,0.0,0.02011327231353307,0.0,0.0,0.03293610610410951,0.014195092409628162,0.0,8.907508213798444e-06,0.037528198112475854,0.006739021481646717,0.025145969488953913,0.04186679129764387,4.952755538057634e-06,0.048021261895066586,0.02990361975261779,0.04849563631483653,0.0018101583050518753,0.004464235045617967,0.0806793376371473,0.05213959412056109,0.013570775051730804,0.0,0.0,4.216960769747877e-06,0.020188988379605314,0.0013160856385753246,0.004308526406902447,0.011980186530860594,0.010208415962443148,0.03334203521810075,0.05320165270244029,0.07638971156579444
AML12,0.02381832921899484,0.00568384108788061,0.017047190269080168,0.06128902498075143,0.005355093900125109,0.01258703000579694,0.0,0.0,0.010377039816203245,0.024372670022129745,0.004671896449259933,0.013392886330416062,0.006682263266339747,0.00972977167033574,0.005455093308403154,0.033180255842571976,0.02277737519685904,0.0,0.008459917674450389,0.0,0.0,0.20842341038678416,0.0489300131721302,0.0,0.0,0.16600052225127238,0.004801217263738825,0.027516347912577975,0.12151415208797385,0.0,0.059107637239263267,0.015442555817439656,0.03556880114441658,0.0040614202700176,0.0049659836981688086,0.07182488743553744,0.08318984144104236,0.051792085164693795,0.0,0.0,0.0,0.04616466792685307,0.004671896449259933,0.013378136455602829,0.03093754337625721,0.007281172792895259,0.018598454842270802,0.025605025258628022,0.041348674803152054
AML13,0.0,0.0021185762834044423,0.025872743732392067,0.030358412602150876,0.008775502830095414,0.019944268379855242,0.0,0.0,0.011243801699102085,0.006709913583143931,4.249298694266867e-05,0.0007423506078867924,0.016614735118863036,0.005374702598649673,0.010290832228952605,0.009149359778149478,0.0070682922693136715,0.0,0.004077615223411001,0.0,0.0,0.005116836724460448,0.03578311764793159,0.0,9.778410348306211e-06,0.04402813462302871,0.0036221054370343146,0.019165626748805648,0.03283016224843577,0.0,0.06009437234255122,0.01803544456209806,0.04346597274930542,0.001796069336277403,0.00324957529610676,0.04078184083967501,0.004713497925581306,0.002263435605257411,0.0,0.0,0.0,0.006175751196735235,4.249298694266867e-05,0.0007415330411380184,0.016693615360079603,0.002649020874294625,0.014092011248452996,0.03529533310284031,0.056086896575774314
AML14,0.0,0.0014685679115347885,0.018750560397214483,0.03784718051688282,0.009644237382446732,0.018694728518048154,0.0,0.0,0.009587845970822247,0.004888617225713758,2.3777374523333847e-05,0.001145128318898575,0.010453990341194057,0.006112300941709441,0.006372560475689128,0.013888017705700834,0.0056629055073099364,0.0,0.0032659941162625724,0.0,0.0,0.00755343973048229,0.03423252947369801,0.0,0.0,0.05781488429827394,0.003038744447633666,0.018494587516193275,0.023808585394940286,0.0,0.03703653459734403,0.020698063253348456,0.03112156607359843,0.0015823538163202671,0.002142683416444655,0.03736163262368851,0.005785965559469137,0.002656346253813318,0.0,0.0,0.0,0.005110317699797491,2.3777374523333847e-05,0.001143867164362343,0.014445558953878905,0.0030805770795805506,0.012030960956163027,0.029366507532712947,0.045932750300381756
AML15,0.05662837380525457,0.007379892329094861,0.01221903846407333,0.015209353475282692,0.0025152196487105457,0.004518893668611274,0.0,0.0,0.00819759375089974,0.03297784953985557,0.00961988136446531,0.013569165645360521,0.022246654660808534,0.0027725091380527466,0.015406902832343843,0.000996239909536886,0.019778425012925115,0.0,0.005348235303829598,0.0,0.0,0.01391959297765922,0.011166030458796793,0.0,1.0143000860693996e-05,0.011614059998022118,0.0023276302296078737,0.016072358255405865,0.11185405567162875,0.0,0.01045773577655041,0.023158824984844797,0.002892586023163619,0.0005866582194580482,0.0009292300720939457,0.026752859918350066,0.04035721360228109,0.042660872689649215,0.0,0.0,9.603726584457657e-06,0.02745435277718788,0.00961988136446531,0.013554221630332592,0.011877908882999316,0.016438954083550693,0.01932595652433224,0.039219147175792425,0.05511696957256428
AML16,0.0,0.009842792965207636,0.036920892685021314,0.03698795644389816,0.007724188982784514,0.01397689265594905,0.0,3.7779886960863004e-05,0.0013097115054839928,0.03310680052748526,0.010577508211510133,0.021767213019250217,0.012816337769321442,0.008584403111888905,0.007569615183601451,0.015634576553970474,0.036176372752914174,0.0,0.013630143662435798,0.0,0.00011158698571430156,0.026076926287374753,0.025788122389061117,0.0,1.1632388623629501e-05,0.07790228432949518,0.0051742809879109656,0.025362430187944453,0.1081743797075831,0.0,0.028446129928900218,0.03063499907021813,0.008398221734646862,0.002263889513614049,0.006101524678324087,0.0577812631860601,0.07379854589814355,0.03427679528487003,0.0,2.0976623283502423e-05,5.5069639350227675e-06,0.03842872683090583,0.010577508211510133,0.021743240317687165,0.02076854148484513,0.01823627970204599,0.02624985672204318,0.06565626485946503,0.09321083961198222
AML17,0.0,0.0037001069115433502,0.04594630766731124,0.019697849536926593,0.005677826527096975,0.00909018099154772,0.0,0.0,0.001824086162334662,0.011617756990817006,0.0010668187086095562,0.0024664428353651686,0.015580265580878019,0.005159268059249883,0.011195563535356366,0.03780952650720352,0.008361093280922383,0.0,0.004825382472447115,0.0,0.0,0.019356354060717337,0.018608004195640366,1.8425695178949085e-05,0.0,0.1117437800186854,0.003064750236542515,0.019484376151947057,0.03903460530439695,0.0,0.019265107151256535,0.050262942776007645,0.0513697723479533,0.001720299050096758,0.003619155127378715,0.05750571131497362,0.018026889162804604,0.005947838741501929,0.0,1.5265474203489793e-05,4.007623856016654e-06,0.004649813018333944,0.0010668187086095562,0.002463726488630185,0.019301294250859743,0.005952607416877769,0.015122407131221897,0.06512434184322247,0.09050648552148621
AML18,0.0,0.005129790035030788,0.041376487435579354,0.005140839373184657,0.0011686140922955272,0.06930540600601133,0.0,0.0,0.0002895840635524515,0.0018988739422381854,2.3716593817061794e-05,0.0,0.008374165839327987,0.0010143143079975896,0.006662596971066044,0.0012977917774978024,0.0059646974322963495,0.0,0.022555244921382094,0.0,0.0,0.0005333898276843788,0.0512956246927761,0.0,0.0,0.009028116713028191,0.005587290980972472,0.021396246345465584,0.01002512303421736,0.0,0.06693331901022892,0.02160311329326166,0.029670159158268827,0.001211458752546202,0.0033136499808194683,0.0628051515632351,0.04706135904982599,0.01847981457618607,0.0,0.0,0.0,0.032455766942107604,2.3716593817061794e-05,0.0,0.00838476535768561,0.004332638922565585,0.025113345371167894,0.028304826791331502,0.04324008249467646
AML19,0.0,0.002494027021809657,0.03192195082337601,0.042167017537801714,0.011858613334891441,0.04104477699685113,0.0,0.0,0.009164658468592568,0.011672362602890434,9.375038605163855e-05,0.0017706109295088956,0.014239535091338207,0.006499488292914039,0.009214123268878943,0.02328061344459921,0.012688318347553301,0.0,0.006408906599359526,0.0,0.0,0.0193275549712366,0.052476789855065174,0.0,1.078683579436169e-05,0.09816891010590875,0.004300828653019906,0.023123531875342822,0.060501661662436736,0.0,0.07334858995427021,0.027051481555473995,0.06572479484532498,0.0028665529107620388,0.004146622106609768,0.06210698789721346,0.011521998406592366,0.003944152781811027,0.0,0.0,5.1066653302740024e-06,0.010684191322266274,9.375038605163855e-05,0.0017686609174719914,0.0245284490619512,0.004472249428787405,0.0146041660504605,0.03978026702086545,0.06061018043486906
AML20,0.0,0.002486651804308145,0.026026747919195552,0.05244488205161913,0.013439815137717715,0.07797726287956634,0.0,0.0,0.006460509506580378,0.015962405229027178,0.0003169495077147378,0.002882171010371798,0.01448564414717819,0.006040617058630231,0.010139629318696898,0.04583104555143428,0.01656041698530828,0.0,0.009667064330816445,0.0,0.0,0.05825798580850294,0.05324308348909099,0.0,0.0,0.19578039568284847,0.00522531437373065,0.025514947043712682,0.08280069140103301,0.0,0.07815855353205053,0.027403964182108883,0.09209071506101195,0.0042311849653022884,0.008093939986425682,0.07773276442207104,0.02546960000331616,0.00990493861493782,0.0,0.0,0.0,0.01714112770071535,0.0003169495077147378,0.002878996813223811,0.029395791385647328,0.0043526395053128985,0.015901088559703333,0.03860042854203364,0.06181072715837117
